leto,kdo,komu,tocke
1957,at,nl,6
1957,at,fr,0
1957,at,dk,0
1957,at,lu,3
1957,at,de,0
1957,at,it,0
1957,at,gb,1
1957,at,be,0
1957,at,ch,0
1957,at,at,0
1957,be,nl,5
1957,be,fr,2
1957,be,dk,0
1957,be,lu,0
1957,be,de,1
1957,be,it,1
1957,be,gb,1
1957,be,be,0
1957,be,ch,0
1957,be,at,0
1957,dk,nl,3
1957,dk,fr,2
1957,dk,dk,0
1957,dk,lu,0
1957,dk,de,0
1957,dk,it,1
1957,dk,gb,0
1957,dk,be,2
1957,dk,ch,2
1957,dk,at,0
1957,fr,nl,4
1957,fr,fr,0
1957,fr,dk,0
1957,fr,lu,0
1957,fr,de,6
1957,fr,it,0
1957,fr,gb,0
1957,fr,be,0
1957,fr,ch,0
1957,fr,at,0
1957,de,nl,1
1957,de,fr,6
1957,de,dk,0
1957,de,lu,0
1957,de,de,0
1957,de,it,0
1957,de,gb,0
1957,de,be,2
1957,de,ch,1
1957,de,at,0
1957,it,nl,1
1957,it,fr,0
1957,it,dk,3
1957,it,lu,4
1957,it,de,1
1957,it,it,0
1957,it,gb,0
1957,it,be,0
1957,it,ch,1
1957,it,at,0
1957,lu,nl,3
1957,lu,fr,4
1957,lu,dk,0
1957,lu,lu,0
1957,lu,de,0
1957,lu,it,1
1957,lu,gb,1
1957,lu,be,0
1957,lu,ch,1
1957,lu,at,0
1957,nl,nl,0
1957,nl,fr,1
1957,nl,dk,5
1957,nl,lu,0
1957,nl,de,0
1957,nl,it,2
1957,nl,gb,1
1957,nl,be,0
1957,nl,ch,0
1957,nl,at,1
1957,ch,nl,7
1957,ch,fr,0
1957,ch,dk,0
1957,ch,lu,0
1957,ch,de,0
1957,ch,it,0
1957,ch,gb,2
1957,ch,be,1
1957,ch,ch,0
1957,ch,at,0
1957,gb,nl,1
1957,gb,fr,2
1957,gb,dk,2
1957,gb,lu,1
1957,gb,de,0
1957,gb,it,2
1957,gb,gb,0
1957,gb,be,0
1957,gb,ch,0
1957,gb,at,2
1958,at,fr,7
1958,at,ch,0
1958,at,it,1
1958,at,se,1
1958,at,be,0
1958,at,at,0
1958,at,de,1
1958,at,dk,0
1958,at,nl,0
1958,at,lu,0
1958,be,fr,1
1958,be,ch,2
1958,be,it,4
1958,be,se,1
1958,be,be,0
1958,be,at,1
1958,be,de,1
1958,be,dk,0
1958,be,nl,0
1958,be,lu,0
1958,dk,fr,9
1958,dk,ch,0
1958,dk,it,0
1958,dk,se,0
1958,dk,be,1
1958,dk,at,0
1958,dk,de,0
1958,dk,dk,0
1958,dk,nl,0
1958,dk,lu,0
1958,fr,fr,0
1958,fr,ch,3
1958,fr,it,1
1958,fr,se,0
1958,fr,be,0
1958,fr,at,3
1958,fr,de,2
1958,fr,dk,1
1958,fr,nl,0
1958,fr,lu,0
1958,de,fr,1
1958,de,ch,0
1958,de,it,4
1958,de,se,0
1958,de,be,5
1958,de,at,0
1958,de,de,0
1958,de,dk,0
1958,de,nl,0
1958,de,lu,0
1958,it,fr,6
1958,it,ch,4
1958,it,it,0
1958,it,se,0
1958,it,be,0
1958,it,at,0
1958,it,de,0
1958,it,dk,0
1958,it,nl,0
1958,it,lu,0
1958,lu,fr,1
1958,lu,ch,5
1958,lu,it,0
1958,lu,se,3
1958,lu,be,0
1958,lu,at,1
1958,lu,de,0
1958,lu,dk,0
1958,lu,nl,0
1958,lu,lu,0
1958,nl,fr,0
1958,nl,ch,6
1958,nl,it,1
1958,nl,se,2
1958,nl,be,0
1958,nl,at,0
1958,nl,de,0
1958,nl,dk,1
1958,nl,nl,0
1958,nl,lu,0
1958,se,fr,1
1958,se,ch,4
1958,se,it,1
1958,se,se,0
1958,se,be,1
1958,se,at,1
1958,se,de,1
1958,se,dk,1
1958,se,nl,0
1958,se,lu,0
1958,ch,fr,1
1958,ch,ch,0
1958,ch,it,1
