ime_drzave,ime_izvajalca
Switzerland,Lys Assia
Netherlands,Jetty Paerl
Belgium,Fud Leclerc
Germany,Walter Andreas Schwarz
France,Mathé Altéry
Luxembourg,Michèle Arnaud
Italy,Franca Raimondi
Netherlands,Corry Brokken
Belgium,Mony Marc
Germany,Freddy Quinn
France,Dany Dauberson
Italy,Tonina Torielli
Netherlands,Corry Brokken
France,Paule Desjardins
Denmark,Birthe Wilke & Gustav Winckler
Luxembourg,Danièle Dupré
Germany,Margot Hielscher
Italy,Nunzio Gallo
United Kingdom,Patricia Bredin
Belgium,Bobbejaan Schoepen
Switzerland,Lys Assia
Austria,Bob Martin
France,André Claveau
Switzerland,Lys Assia
Italy,Domenico Modugno
Sweden,Alice Babs
Belgium,Fud Leclerc
Austria,Liane Augustin
Germany,Margot Hielscher
Denmark,Raquel Rastenni
Netherlands,Corry Brokken
Luxembourg,Solange Berry
Netherlands,Teddy Scholten
United Kingdom,Pearl Carr & Teddy Johnson
France,Jean Philippe
Switzerland,Christa Williams
Denmark,Birthe Wilke
Italy,Domenico Modugno
Belgium,Bob Benny
Germany,Alice and Ellen Kessler
Sweden,Brita Borg
Austria,Ferry Graf
Monaco,Jacques Pills
France,Jacqueline Boyer
United Kingdom,Bryan Johnson
Monaco,François Deguelt
Norway,Nora Brockstedt
Germany,Wyn Hoop
Belgium,Fud Leclerc
Austria,Harry Winter
Switzerland,Anita Traversi
Italy,Renato Rascel
Sweden,Siw Malmkvist
Denmark,Katy Bødtger
Netherlands,Rudi Carrell
Luxembourg,Camillo Felgen
Luxembourg,Jean-Claude Pascal
United Kingdom,The Allisons
Switzerland,Franca di Rienzo
France,Jean-Paul Mauric
Denmark,Dario Campeotto
Italy,Betty Curtis
Norway,Nora Brockstedt
Yugoslavia,Ljiljana Petrović
Spain,Conchita Bautista
Monaco,Colette Deréal
Finland,Laila Kinnunen
Netherlands,Greetje Kauffeld
Germany,Lale Andersen
Sweden,Lill-Babs
Austria,Jimmy Makulis
Belgium,Bob Benny
France,Isabelle Aubret
Monaco,François Deguelt
Luxembourg,Camillo Felgen
Yugoslavia,Lola Novaković
United Kingdom,Ronnie Carroll
Germany,Conny Froboess
Finland,Marion Rung
Sweden,Inger Berggren
Italy,Claudio Villa
Denmark,Ellen Winther
Norway,Inger Jacobsen
Switzerland,Jean Philippe
Belgium,Fud Leclerc
Spain,Victor Balaguer
Austria,Eleonore Schwarz
Netherlands,De Spelbrekers
Denmark,Grethe & Jørgen Ingmann
Switzerland,Esther Ofarim
Italy,Emilio Pericoli
United Kingdom,Ronnie Carroll
France,Alain Barrière
Monaco,Françoise Hardy
Austria,Carmela Corren
Luxembourg,Nana Mouskouri
Germany,Heidi Brühl
Belgium,Jacques Raymond
Yugoslavia,Vice Vukov
Spain,José Guardiola
Netherlands,Annie Palmen
Norway,Anita Thallaug
Finland,Laila Halme
Sweden,Monica Zetterlund
Italy,Gigliola Cinquetti
United Kingdom,Matt Monro
Monaco,Romuald
Luxembourg,Hugues Aufray
France,Rachel
Austria,Udo Jürgens
Finland,Lasse Mårtenson
Norway,Arne Bendiksen
Denmark,Bjørn Tidmand
Netherlands,Anneke Grönloh
Belgium,Robert Cogoi
Spain,"Tim, Nelly and Tony"
Germany,Nora Nova
Portugal,António Calvário
Yugoslavia,Sabahudin Kurt
Switzerland,Anita Traversi
Luxembourg,France Gall
United Kingdom,Kathy Kirby
France,Guy Mardel
Austria,Udo Jürgens
Italy,Bobby Solo
Ireland,Butch Moore
Denmark,Birgit Brüel
Switzerland,Yovanna
Monaco,Marjorie Noël
Sweden,Ingvar Wixell
Netherlands,Conny Van den bos
Yugoslavia,Vice Vukov
Norway,Kirsti Sparboe
Portugal,Simone de Oliviera
Spain,Conchita Bautista
Germany,Ulla Wiesner
Belgium,Lize Marke
Finland,Viktor Klimenko
Austria,Udo Jürgens
Sweden,Lill Lindfors & Svante Thuresson
Norway,Åse Kleveland
Belgium,Tonia
Ireland,Dickie Rock
Switzerland,Madeleine Pascal
Yugoslavia,Berta Ambroz
Spain,Raphael
United Kingdom,Kenneth McKellar
Germany,Margot Eskens
Luxembourg,Michèle Torr
