leto,ime_drzave,ime_izvajalca,naslov_pesmi,mesto,tocke_v_finalu,youtube_link
1956,Switzerland,Lys Assia,Refrain,2.0,,https://youtube.com/watch?v=IyqIPvOkiRk
1956,Netherlands,Jetty Paerl,De Vogels Van Holland,2.0,,https://youtube.com/watch?v=u45UQVGRVPA
1956,Belgium,Fud Leclerc,Messieurs Les Noyés De La Seine,2.0,,https://youtube.com/watch?v=U9O3sqlyra0
1956,Germany,Walter Andreas Schwarz,Im Wartesaal Zum Großen Glück,2.0,,https://youtube.com/watch?v=BDNARIDnmTc
1956,France,Mathé Altéry,Le Temps Perdu,2.0,,https://youtube.com/watch?v=dm1L0XyikKI
1956,Luxembourg,Michèle Arnaud,Ne Crois Pas,2.0,,https://youtube.com/watch?v=Pv7GJkqtNuc
1956,Italy,Franca Raimondi,Aprite Le Finestre,2.0,,https://youtube.com/watch?v=HHA1mC2RkKc
1956,Netherlands,Corry Brokken,Voorgoed Voorbij,2.0,,https://youtube.com/watch?v=6OjNzLaifFM
1956,Belgium,Mony Marc,Le Plus Beau Jour De Ma Vie,2.0,,https://youtube.com/watch?v=dL139DezFwo
1956,Germany,Freddy Quinn,So Geht Das Jede Nacht,2.0,,https://youtube.com/watch?v=DJFGwPVKfyk
1956,France,Dany Dauberson,Il Est Là,2.0,,https://youtube.com/watch?v=c4EpfbOZVZA
1956,Italy,Tonina Torielli,Amami Se Vuoi,2.0,,https://youtube.com/watch?v=k19AnMpqnE4
1957,Netherlands,Corry Brokken,Net Als Toen,1.0,31.0,https://youtube.com/watch?v=e5gLyP977ew
1957,France,Paule Desjardins,La Belle Amour,2.0,17.0,https://youtube.com/watch?v=g2-XDnBHEbc
1957,Denmark,Birthe Wilke & Gustav Winckler,Skibet Skal Sejle I Nat,3.0,10.0,https://youtube.com/watch?v=vX3WRMF5TuY
1957,Luxembourg,Danièle Dupré,Amours Mortes (Tant De Peine),4.0,8.0,https://youtube.com/watch?v=-0nMxZ8L1cI
1957,Germany,Margot Hielscher,"Telefon, Telefon",4.0,8.0,https://youtube.com/watch?v=NoDpE2LtoZA
1957,Italy,Nunzio Gallo,Corde Della Mia Chitarra,6.0,7.0,https://youtube.com/watch?v=uUPzp2XJIyo
1957,United Kingdom,Patricia Bredin,All,7.0,6.0,https://youtube.com/watch?v=LGHNEpTNcXU
1957,Belgium,Bobbejaan Schoepen,Straatdeuntje,8.0,5.0,https://youtube.com/watch?v=mu8ueVHTb9k
