leto,ime_drzave
1956,Switzerland
1956,Netherlands
1956,Belgium
1956,Germany
1956,France
1956,Luxembourg
1956,Italy
1956,Netherlands
1956,Belgium
1956,Germany
1956,France
1956,Italy
1957,Netherlands
1957,France
1957,Denmark
1957,Luxembourg
1957,Germany
1957,Italy
1957,United Kingdom
1957,Belgium
1957,Switzerland
1957,Austria
1958,France
1958,Switzerland
1958,Italy
1958,Sweden
1958,Belgium
1958,Austria
1958,Germany
1958,Denmark
1958,Netherlands
1958,Luxembourg
1959,Netherlands
1959,United Kingdom
1959,France
1959,Switzerland
1959,Denmark
1959,Italy
1959,Belgium
1959,Germany
1959,Sweden
1959,Austria
1959,Monaco
1960,France
1960,United Kingdom
1960,Monaco
1960,Norway
1960,Germany
1960,Belgium
1960,Austria
1960,Switzerland
1960,Italy
1960,Sweden
1960,Denmark
1960,Netherlands
1960,Luxembourg
1961,Luxembourg
1961,United Kingdom
1961,Switzerland
1961,France
1961,Denmark
1961,Italy
1961,Norway
1961,Yugoslavia
1961,Spain
1961,Monaco
1961,Finland
1961,Netherlands
1961,Germany
1961,Sweden
1961,Austria
1961,Belgium
1962,France
1962,Monaco
1962,Luxembourg
1962,Yugoslavia
1962,United Kingdom
1962,Germany
1962,Finland
1962,Sweden
1962,Italy
1962,Denmark
1962,Norway
1962,Switzerland
1962,Belgium
1962,Spain
1962,Austria
1962,Netherlands
1963,Denmark
1963,Switzerland
1963,Italy
1963,United Kingdom
1963,France
1963,Monaco
1963,Austria
1963,Luxembourg
1963,Germany
1963,Belgium
1963,Yugoslavia
1963,Spain
1963,Netherlands
1963,Norway
1963,Finland
1963,Sweden
1964,Italy
1964,United Kingdom
1964,Monaco
1964,Luxembourg
1964,France
1964,Austria
1964,Finland
1964,Norway
1964,Denmark
1964,Netherlands
1964,Belgium
1964,Spain
1964,Germany
1964,Portugal
1964,Yugoslavia
1964,Switzerland
1965,Luxembourg
1965,United Kingdom
1965,France
1965,Austria
1965,Italy
1965,Ireland
1965,Denmark
1965,Switzerland
1965,Monaco
1965,Sweden
1965,Netherlands
1965,Yugoslavia
1965,Norway
1965,Portugal
1965,Spain
1965,Germany
1965,Belgium
1965,Finland
1966,Austria
1966,Sweden
1966,Norway
1966,Belgium
1966,Ireland
1966,Switzerland
1966,Yugoslavia
1966,Spain
1966,United Kingdom
1966,Germany
1966,Luxembourg
1966,Finland
1966,Portugal
1966,Denmark
1966,Netherlands
1966,France
1966,Monaco
1966,Italy
1967,United Kingdom
1967,Ireland
1967,France
1967,Luxembourg
1967,Monaco
1967,Spain
1967,Belgium
1967,Sweden
1967,Germany
1967,Yugoslavia
1967,Italy
1967,Portugal
1967,Finland
1967,Netherlands
1967,Austria
1967,Norway
1967,Switzerland
1968,Spain
1968,United Kingdom
1968,France
1968,Ireland
1968,Sweden
1968,Germany
1968,Belgium
1968,Monaco
1968,Yugoslavia
1968,Italy
1968,Portugal
1968,Luxembourg
1968,Austria
1968,Switzerland
1968,Norway
1968,Netherlands
1968,Finland
1969,Spain
1969,United Kingdom
1969,Netherlands
1969,France
1969,Switzerland
1969,Monaco
1969,Ireland
1969,Belgium
1969,Sweden
1969,Germany
1969,Luxembourg
1969,Finland
1969,Yugoslavia
1969,Italy
1969,Portugal
1969,Norway
1970,Ireland
1970,United Kingdom
1970,Germany
1970,Switzerland
1970,France
1970,Spain
1970,Netherlands
1970,Italy
1970,Belgium
1970,Monaco
1970,Yugoslavia
1970,Luxembourg
1971,Monaco
1971,Spain
1971,Germany
1971,United Kingdom
1971,Italy
1971,Sweden
1971,Netherlands
1971,Finland
1971,Portugal
1971,France
1971,Ireland
1971,Switzerland
1971,Luxembourg
1971,Belgium
1971,Yugoslavia
1971,Austria
1971,Norway
1971,Malta
1972,Luxembourg
1972,United Kingdom
1972,Germany
1972,Netherlands
1972,Austria
1972,Italy
1972,Portugal
1972,Switzerland
1972,Yugoslavia
1972,Spain
1972,France
1972,Finland
1972,Sweden
1972,Norway
1972,Ireland
1972,Monaco
1972,Belgium
1972,Malta
1973,Luxembourg
1973,Spain
1973,United Kingdom
1973,Israel
1973,Sweden
1973,Finland
1973,Norway
1973,Germany
1973,Monaco
1973,Portugal
1973,Ireland
1973,Switzerland
1973,Italy
1973,Netherlands
1973,Yugoslavia
1973,France
1973,Belgium
1974,Sweden
1974,Italy
1974,Netherlands
1974,United Kingdom
1974,Luxembourg
1974,Monaco
1974,Israel
1974,Ireland
1974,Spain
1974,Belgium
1974,Greece
1974,Yugoslavia
1974,Finland
1974,Norway
1974,Germany
1974,Switzerland
1974,Portugal
1975,Netherlands
1975,United Kingdom
1975,Italy
1975,France
1975,Luxembourg
1975,Switzerland
1975,Finland
1975,Sweden
1975,Ireland
1975,Spain
1975,Israel
1975,Malta
1975,Yugoslavia
1975,Monaco
1975,Belgium
1975,Portugal
1975,Germany
1975,Norway
1975,Turkey
1976,United Kingdom
1976,France
1976,Monaco
1976,Switzerland
1976,Austria
1976,Israel
1976,Italy
1976,Belgium
1976,Netherlands
1976,Ireland
1976,Finland
1976,Portugal
1976,Greece
1976,Luxembourg
1976,Germany
1976,Spain
1976,Yugoslavia
1976,Norway
1977,France
1977,United Kingdom
1977,Ireland
1977,Monaco
1977,Greece
1977,Switzerland
1977,Belgium
1977,Germany
1977,Spain
1977,Finland
1977,Israel
1977,Netherlands
1977,Italy
1977,Norway
1977,Portugal
1977,Luxembourg
1977,Austria
1977,Sweden
1978,Israel
1978,Belgium
1978,France
1978,Monaco
1978,Ireland
1978,Germany
1978,Luxembourg
1978,Greece
1978,Spain
1978,Switzerland
1978,United Kingdom
1978,Italy
1978,Netherlands
1978,Sweden
1978,Austria
1978,Denmark
1978,Portugal
1978,Finland
1978,Turkey
1978,Norway
1979,Israel
1979,Spain
1979,France
1979,Germany
1979,Ireland
1979,Denmark
1979,United Kingdom
1979,Greece
1979,Portugal
1979,Switzerland
1979,Norway
1979,Netherlands
1979,Luxembourg
1979,Finland
1979,Italy
1979,Monaco
